Rk,Player,OPS+,PA,Season,Age,Team,Lg,G,PA_1,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+_2,TB,GIDP,HBP,SH,SF,IBB,Pos,Player-additional
1,Barry Bonds,268,612,2002,37,SFG,NL,143,612,403,117,149,70,31,2,46,110,9,2,198,47,0.37,0.582,0.799,1.381,268,322,4,9,0,2,68,*7/DH,bondsba01
2,Barry Bonds,263,617,2004,39,SFG,NL,147,617,373,129,135,60,27,3,45,101,6,1,232,41,0.362,0.609,0.812,1.422,263,303,5,9,0,3,120,*7/HD,bondsba01
3,Barry Bonds,259,664,2001,36,SFG,NL,153,664,476,129,156,49,32,2,73,137,13,3,177,93,0.328,0.515,0.863,1.379,259,411,5,9,0,2,35,*7/DH,bondsba01
4,Fred Dunlap,256,478,1884,25,SLM,UA,101,478,449,160,185,125,39,8,13,,,,29,,0.412,0.448,0.621,1.069,256,279,,,,,,*4/1O,dunlafr01
5,Babe Ruth,255,617,1920,25,NYY,AL,142,617,458,158,172,73,36,9,54,135,14,14,150,80,0.376,0.532,0.847,1.379,255,388,,3,5,,,*978/31H,ruthba01
6,Babe Ruth,239,699,1923,28,NYY,AL,152,699,522,151,205,106,45,13,41,130,17,21,170,93,0.393,0.545,0.764,1.309,239,399,,4,3,,,*97/83,ruthba01
7,Babe Ruth,239,693,1921,26,NYY,AL,152,693,540,177,204,85,44,16,59,168,17,13,145,81,0.378,0.512,0.846,1.359,239,457,,4,4,,,*78/13H,ruthba01
8,Ted Williams,235,606,1941,22,BOS,AL,143,606,456,135,185,112,33,3,37,120,2,4,147,27,0.406,0.553,0.735,1.287,235,335,10,3,0,,25,*7H/9,willite01
9,Ted Williams,233,547,1957,38,BOS,AL,132,547,420,96,163,96,28,1,38,87,0,1,119,43,0.388,0.526,0.731,1.257,233,307,11,5,0,2,33,*7/H,willite01
10,Barry Bonds,231,550,2003,38,SFG,NL,130,550,390,111,133,65,22,1,45,90,7,0,148,58,0.341,0.529,0.749,1.278,231,292,7,10,0,2,61,*7/DH,bondsba01
11,Babe Ruth,226,652,1926,31,NYY,AL,152,652,495,139,184,102,30,5,47,153,11,9,144,76,0.372,0.516,0.737,1.253,226,365,,3,10,,13,*79/H3,ruthba01
12,Babe Ruth,225,691,1927,32,NYY,AL,151,691,540,158,192,95,29,8,60,165,7,5,137,89,0.356,0.486,0.772,1.258,225,417,,0,14,,3,*97,ruthba01
13,Rogers Hornsby,222,642,1924,28,STL,NL,143,642,536,121,227,145,43,14,25,94,5,12,89,32,0.424,0.507,0.696,1.203,222,373,,2,13,,13,*4,hornsro01
14,Mickey Mantle,221,623,1957,25,NYY,AL,144,623,474,121,173,105,28,6,34,94,16,3,146,75,0.365,0.512,0.665,1.177,221,315,5,0,0,3,23,*8/H,mantlmi01
15,Babe Ruth,220,681,1924,29,NYY,AL,153,681,529,143,200,108,39,7,46,124,9,13,142,81,0.378,0.513,0.739,1.252,220,391,,4,6,,28,*97/8H,ruthba01
16,Lou Gehrig,220,717,1927,24,NYY,AL,155,717,584,149,218,101,52,18,47,173,10,10,109,84,0.373,0.474,0.765,1.24,220,447,,3,21,,9,*3,gehrilo01
17,Babe Ruth,218,663,1931,36,NYY,AL,145,663,534,149,199,119,31,3,46,162,5,4,128,51,0.373,0.495,0.7,1.195,218,374,,1,0,,5,*97/H3,ruthba01
18,Babe Ruth,217,543,1919,24,BOS,AL,130,543,432,103,139,64,34,12,29,113,7,,101,58,0.322,0.456,0.657,1.114,217,284,,6,3,,,*71/38H,ruthba01
19,Ted Williams,216,671,1942,23,BOS,AL,150,671,522,141,186,111,34,5,36,137,3,2,145,51,0.356,0.499,0.648,1.147,216,338,12,4,0,,20,*7/9,willite01
20,Mark McGwire,216,681,1998,34,STL,NL,155,681,509,130,152,61,21,0,70,147,1,0,162,155,0.299,0.47,0.752,1.222,216,383,8,6,0,4,28,*3/H,mcgwima01
21,Ted Williams,215,672,1946,27,BOS,AL,150,672,514,142,176,93,37,8,38,123,0,0,156,44,0.342,0.497,0.667,1.164,215,343,12,2,0,,29,*7,willite01
22,Jeff Bagwell,213,479,1994,26,HOU,NL,110,479,400,104,147,74,32,2,39,116,15,4,65,65,0.368,0.451,0.75,1.201,213,300,12,4,0,10,14,*3/H9,bagweje01
23,Tip O'Neill,213,572,1887,27,STL,AA,124,572,517,167,225,140,52,19,14,123,30,,50,20,0.435,0.49,0.691,1.18,213,357,,5,,,,*O,o'neiti01
24,Frank Thomas,212,517,1994,26,CHW,AL,113,517,399,106,141,68,34,1,38,101,2,3,109,61,0.353,0.487,0.729,1.217,212,291,15,2,0,7,12,*3D/H,thomafr04
25,Babe Ruth,211,676,1930,35,NYY,AL,145,676,518,150,186,100,28,9,49,153,10,10,136,61,0.359,0.493,0.732,1.225,211,379,,1,21,,8,*97/1,ruthba01
26,Rogers Hornsby,210,606,1925,29,STL,NL,138,606,504,133,203,113,41,10,39,143,5,3,83,39,0.403,0.489,0.756,1.245,210,381,,2,16,,8,*4/H,hornsro01
27,Mickey Mantle,210,652,1956,24,NYY,AL,150,652,533,132,188,109,22,5,52,130,10,1,112,99,0.353,0.464,0.705,1.169,210,376,4,2,1,4,6,*8/H,mantlmi01
28,Aaron Judge,210,696,2022,30,NYY,AL,157,696,570,133,177,87,28,0,62,131,16,3,111,175,0.311,0.425,0.686,1.111,210,391,14,6,0,5,19,*89D/H,judgeaa01
29,Willie McCovey,209,623,1969,31,SFG,NL,149,623,491,101,157,84,26,2,45,126,0,0,121,66,0.32,0.453,0.656,1.108,209,322,11,4,0,7,45,*3/H,mccovwi01
30,Ty Cobb,209,672,1917,30,DET,AL,152,672,588,107,225,151,44,24,6,106,55,,61,34,0.383,0.444,0.57,1.014,209,335,,4,16,,,*89/H,cobbty01
31,Dan Brouthers,208,555,1886,28,DTN,NL,121,555,489,139,181,115,40,15,11,72,21,,66,16,0.37,0.445,0.581,1.026,208,284,,,,,,*3,broutda01
32,Jimmie Foxx,207,702,1932,24,PHA,AL,154,702,585,151,213,113,33,9,58,169,3,7,116,96,0.364,0.469,0.749,1.218,207,438,,0,0,,10,*35,foxxji01
33,Lou Gehrig,207,690,1934,31,NYY,AL,154,690,579,128,210,115,40,6,49,166,9,5,109,31,0.363,0.465,0.706,1.172,207,409,,2,0,,13,*3/6,gehrilo01
34,Rogers Hornsby,207,704,1922,26,STL,NL,154,704,623,141,250,148,46,14,42,152,17,12,65,50,0.401,0.459,0.722,1.181,207,450,,1,15,,,*4,hornsro01
35,Babe Ruth,206,684,1928,33,NYY,AL,154,684,536,163,173,82,29,8,54,146,4,5,137,87,0.323,0.463,0.709,1.172,206,380,,3,8,,8,*97,ruthba01
36,Mickey Mantle,206,646,1961,29,NYY,AL,153,646,514,131,163,87,16,6,54,128,12,1,126,112,0.317,0.448,0.687,1.135,206,353,2,0,1,5,9,*8/H,mantlmi01
37,Barry Bonds,206,674,1993,28,SFG,NL,159,674,539,129,181,93,38,4,46,123,29,12,126,79,0.336,0.458,0.677,1.136,206,365,11,2,0,7,43,*7/H,bondsba01
38,Ty Cobb,205,598,1910,23,DET,AL,140,598,508,106,194,138,35,13,8,91,65,,64,46,0.382,0.455,0.549,1.004,205,279,,4,16,,,*89/H,cobbty01
39,Honus Wagner,205,641,1908,34,PIT,NL,151,641,568,100,201,133,39,19,10,109,53,,54,22,0.354,0.415,0.542,0.957,205,308,,5,14,,,*6,wagneho01
40,Ted Williams,205,693,1947,28,BOS,AL,156,693,528,125,181,100,40,9,32,114,0,1,162,47,0.343,0.499,0.634,1.133,205,335,10,2,1,,29,*7,willite01
41,Barry Bonds,204,612,1992,27,PIT,NL,140,612,473,109,147,72,36,5,34,103,39,8,127,69,0.311,0.456,0.624,1.08,204,295,9,5,0,7,32,*7/H,bondsba01
42,George Brett,203,515,1980,27,KCR,AL,117,515,449,87,175,109,33,9,24,118,15,6,58,22,0.39,0.454,0.664,1.118,203,298,11,1,0,7,16,*5/H3,brettge01
43,Lou Gehrig,203,703,1930,27,NYY,AL,154,703,581,143,220,120,42,17,41,173,12,14,101,63,0.379,0.473,0.721,1.194,203,419,,3,18,,3,*3/7,gehrilo01
44,Sammy Sosa,203,711,2001,32,CHC,NL,160,711,577,146,189,86,34,5,64,160,0,2,116,153,0.328,0.437,0.737,1.174,203,425,6,6,0,12,37,*9,sosasa01
45,Rogers Hornsby,202,621,1928,32,BSN,NL,140,621,486,99,188,118,42,7,21,94,5,3,107,41,0.387,0.498,0.632,1.13,202,307,,1,25,,9,*4,hornsro01
46,Dave Orr,202,455,1885,25,NYP,AA,107,455,444,76,152,96,29,21,6,77,,,8,,0.342,0.358,0.543,0.901,202,241,,3,,,,*3/1,orrda01
47,Babe Ruth,201,589,1932,37,NYY,AL,133,589,457,120,156,97,13,5,41,137,2,2,130,62,0.341,0.489,0.661,1.15,201,302,,2,0,,4,*97/H3,ruthba01
